kepid,kepler_name,pl_name
5094751,Kepler-109 c,Kepler-109 c
8505920,Kepler-1090 b,Kepler-1090 b
8505920,Kepler-1090 c,Kepler-1090 c
7918992,Kepler-1091 b,Kepler-1091 b
10158729,Kepler-1092 b,Kepler-1092 b
6105462,Kepler-1093 b,Kepler-1093 b
6105462,Kepler-1093 c,Kepler-1093 c
3120355,Kepler-1094 b,Kepler-1094 b
6047072,Kepler-1095 b,Kepler-1095 b
9411412,Kepler-1096 b,Kepler-1096 b
7008211,Kepler-1097 b,Kepler-1097 b
7620413,Kepler-1098 b,Kepler-1098 b
10854546,Kepler-1099 b,Kepler-1099 b
6541920,Kepler-11 b,Kepler-11 b
6541920,Kepler-11 c,Kepler-11 c
6541920,Kepler-11 d,Kepler-11 d
6541920,Kepler-11 e,Kepler-11 e
6541920,Kepler-11 f,Kepler-11 f
6541920,Kepler-11 g,Kepler-11 g
11086270,Kepler-110 b,Kepler-110 b
11086270,Kepler-110 c,Kepler-110 c
8165946,Kepler-1100 b,Kepler-1100 b
9225395,Kepler-1101 b,Kepler-1101 b
10709622,Kepler-1102 b,Kepler-1102 b
11499228,Kepler-1103 b,Kepler-1103 b
11460462,Kepler-1104 b,Kepler-1104 b
6921944,Kepler-1105 b,Kepler-1105 b
8164012,Kepler-1106 b,Kepler-1106 b
4055304,Kepler-1107 b,Kepler-1107 b
9415108,Kepler-1108 b,Kepler-1108 b
4262581,Kepler-1109 b,Kepler-1109 b
8559644,Kepler-111 b,Kepler-111 b
8559644,Kepler-111 c,Kepler-111 c
3546060,Kepler-1110 b,Kepler-1110 b
9351920,Kepler-1111 b,Kepler-1111 b
10549023,Kepler-1112 b,Kepler-1112 b
4254466,Kepler-1113 b,Kepler-1113 b
9364609,Kepler-1114 b,Kepler-1114 b
5022828,Kepler-1115 b,Kepler-1115 b
8233702,Kepler-1116 b,Kepler-1116 b
11403339,Kepler-1117 b,Kepler-1117 b
8260902,Kepler-1118 b,Kepler-1118 b
8381204,Kepler-1119 b,Kepler-1119 b
7626506,Kepler-112 b,Kepler-112 b
7626506,Kepler-112 c,Kepler-112 c
6774537,Kepler-1120 b,Kepler-1120 b
10617017,Kepler-1121 b,Kepler-1121 b
9641481,Kepler-1122 b,Kepler-1122 b
12116380,Kepler-1123 b,Kepler-1123 b
2556650,Kepler-1124 b,Kepler-1124 b
5546761,Kepler-1125 b,Kepler-1125 b
9205938,Kepler-1126 b,Kepler-1126 b
9205938,Kepler-1126 c,Kepler-1126 c
7204981,Kepler-1127 b,Kepler-1127 b
4370527,Kepler-1128 b,Kepler-1128 b
6041734,Kepler-1129 b,Kepler-1129 b
6041734,Kepler-1129 c,Kepler-1129 c
12252424,Kepler-113 b,Kepler-113 b
12252424,Kepler-113 c,Kepler-113 c
9006186,Kepler-1130 b,Kepler-1130 b
9006186,Kepler-1130 c,Kepler-1130 c
9006186,Kepler-1130 d,Kepler-1130 d
11410904,Kepler-1131 b,Kepler-1131 b
10965588,Kepler-1132 b,Kepler-1132 b
7286911,Kepler-1133 b,Kepler-1133 b
6962109,Kepler-1134 b,Kepler-1134 b
8611781,Kepler-1135 b,Kepler-1135 b
8282651,Kepler-1136 b,Kepler-1136 b
11075429,Kepler-1137 b,Kepler-1137 b
10909127,Kepler-1138 b,Kepler-1138 b
4144576,Kepler-1139 b,Kepler-1139 b
10925104,Kepler-114 b,Kepler-114 b
10925104,Kepler-114 c,Kepler-114 c
10925104,Kepler-114 d,Kepler-114 d
9992325,Kepler-1140 b,Kepler-1140 b
10531955,Kepler-1141 b,Kepler-1141 b
8168187,Kepler-1142 b,Kepler-1142 b
4142847,Kepler-1143 b,Kepler-1143 b
4142847,Kepler-1143 c,Kepler-1143 c
10203349,Kepler-1144 b,Kepler-1144 b
7457296,Kepler-1145 b,Kepler-1145 b
10328458,Kepler-1146 b,Kepler-1146 b
6287313,Kepler-1147 b,Kepler-1147 b
9278725,Kepler-1148 b,Kepler-1148 b
8892157,Kepler-1149 b,Kepler-1149 b
8972058,Kepler-115 b,Kepler-115 b
8972058,Kepler-115 c,Kepler-115 c
11569782,Kepler-1150 b,Kepler-1150 b
10600955,Kepler-1151 b,Kepler-1151 b
8229458,Kepler-1152 b,Kepler-1152 b
9336200,Kepler-1153 b,Kepler-1153 b
4770617,Kepler-1154 b,Kepler-1154 b
4770617,Kepler-1154 c,Kepler-1154 c
4454934,Kepler-1155 b,Kepler-1155 b
9458343,Kepler-1156 b,Kepler-1156 b
7802719,Kepler-1157 b,Kepler-1157 b
6206214,Kepler-1158 b,Kepler-1158 b
8959839,Kepler-1159 b,Kepler-1159 b
7831264,Kepler-116 b,Kepler-116 b
7831264,Kepler-116 c,Kepler-116 c
7672097,Kepler-1160 b,Kepler-1160 b
9112931,Kepler-1161 b,Kepler-1161 b
9071593,Kepler-1162 b,Kepler-1162 b
9071593,Kepler-1162 c,Kepler-1162 c
11811193,Kepler-1163 b,Kepler-1163 b
3734418,Kepler-1164 b,Kepler-1164 b
8613535,Kepler-1165 b,Kepler-1165 b
8613535,Kepler-1165 c,Kepler-1165 c
12256520,Kepler-1166 b,Kepler-1166 b
10489345,Kepler-1167 b,Kepler-1167 b
10329469,Kepler-1168 b,Kepler-1168 b
9717943,Kepler-1169 b,Kepler-1169 b
10723750,Kepler-117 b,Kepler-117 b
10723750,Kepler-117 c,Kepler-117 c
7960980,Kepler-1170 b,Kepler-1170 b
3458028,Kepler-1171 b,Kepler-1171 b
2439243,Kepler-1172 b,Kepler-1172 b
9221517,Kepler-1173 b,Kepler-1173 b
6751874,Kepler-1174 b,Kepler-1174 b
9945370,Kepler-1175 b,Kepler-1175 b
8973129,Kepler-1176 b,Kepler-1176 b
11498128,Kepler-1177 b,Kepler-1177 b
9334893,Kepler-1178 b,Kepler-1178 b
10583761,Kepler-1179 b,Kepler-1179 b
6152974,Kepler-118 b,Kepler-118 b
6152974,Kepler-118 c,Kepler-118 c
7542813,Kepler-1180 b,Kepler-1180 b
4458082,Kepler-1181 b,Kepler-1181 b
4458082,Kepler-1181 c,Kepler-1181 c
8042453,Kepler-1182 b,Kepler-1182 b
3749978,Kepler-1183 b,Kepler-1183 b
10010440,Kepler-1184 b,Kepler-1184 b
4247991,Kepler-1185 b,Kepler-1185 b
10132832,Kepler-1186 b,Kepler-1186 b
3219995,Kepler-1187 b,Kepler-1187 b
7504778,Kepler-1188 b,Kepler-1188 b
10684670,Kepler-1189 b,Kepler-1189 b
7132798,Kepler-119 b,Kepler-119 b
7132798,Kepler-119 c,Kepler-119 c
11495458,Kepler-1190 b,Kepler-1190 b
10730703,Kepler-1191 b,Kepler-1191 b
8007644,Kepler-1192 b,Kepler-1192 b
12401863,Kepler-1193 b,Kepler-1193 b
2990873,Kepler-1194 b,Kepler-1194 b
5599774,Kepler-1195 b,Kepler-1195 b
8099138,Kepler-1196 b,Kepler-1196 b
7033233,Kepler-1197 b,Kepler-1197 b
8681734,Kepler-1198 b,Kepler-1198 b
10212441,Kepler-1199 b,Kepler-1199 b
11804465,Kepler-12 b,Kepler-12 b
4249725,Kepler-120 b,Kepler-120 b
4249725,Kepler-120 c,Kepler-120 c
8247771,Kepler-1200 b,Kepler-1200 b
5629538,Kepler-1201 b,Kepler-1201 b
8561231,Kepler-1202 b,Kepler-1202 b
8235924,Kepler-1203 b,Kepler-1203 b
6941084,Kepler-1204 b,Kepler-1204 b
6200235,Kepler-1205 b,Kepler-1205 b
11670125,Kepler-1206 b,Kepler-1206 b
11461844,Kepler-1207 b,Kepler-1207 b
8495415,Kepler-1208 b,Kepler-1208 b
11342416,Kepler-1209 b,Kepler-1209 b
4545187,Kepler-121 b,Kepler-121 b
4545187,Kepler-121 c,Kepler-121 c
10863608,Kepler-1210 b,Kepler-1210 b
5602588,Kepler-1211 b,Kepler-1211 b
11824786,Kepler-1212 b,Kepler-1212 b
12254909,Kepler-1213 b,Kepler-1213 b
11701407,Kepler-1214 b,Kepler-1214 b
10813132,Kepler-1215 b,Kepler-1215 b
9395024,Kepler-1216 b,Kepler-1216 b
12254378,Kepler-1217 b,Kepler-1217 b
8494617,Kepler-1218 b,Kepler-1218 b
10289119,Kepler-1219 b,Kepler-1219 b
4833421,Kepler-122 b,Kepler-122 b
4833421,Kepler-122 c,Kepler-122 c
4833421,Kepler-122 d,Kepler-122 d
4833421,Kepler-122 e,Kepler-122 e
4833421,Kepler-122 f,Kepler-122 f
7382313,Kepler-1220 b,Kepler-1220 b
9269042,Kepler-1221 b,Kepler-1221 b
11461433,Kepler-1222 b,Kepler-1222 b
8481129,Kepler-1223 b,Kepler-1223 b
2142522,Kepler-1224 b,Kepler-1224 b
5007345,Kepler-1225 b,Kepler-1225 b
12120484,Kepler-1226 b,Kepler-1226 b
6429812,Kepler-1227 b,Kepler-1227 b
10024051,Kepler-1228 b,Kepler-1228 b
10027247,Kepler-1229 b,Kepler-1229 b
7219825,Kepler-123 b,Kepler-123 b
7219825,Kepler-123 c,Kepler-123 c
6343170,Kepler-1230 b,Kepler-1230 b
7107802,Kepler-1231 b,Kepler-1231 b
11360805,Kepler-1232 b,Kepler-1232 b
9845898,Kepler-1233 b,Kepler-1233 b
12453581,Kepler-1234 b,Kepler-1234 b
8081899,Kepler-1235 b,Kepler-1235 b
7047363,Kepler-1236 b,Kepler-1236 b
8570333,Kepler-1237 b,Kepler-1237 b
5036705,Kepler-1238 b,Kepler-1238 b
6867555,Kepler-1239 b,Kepler-1239 b
11288051,Kepler-124 b,Kepler-124 b
11288051,Kepler-124 c,Kepler-124 c
11288051,Kepler-124 d,Kepler-124 d
5339567,Kepler-1240 b,Kepler-1240 b
3354846,Kepler-1241 b,Kepler-1241 b
5857540,Kepler-1242 b,Kepler-1242 b
7289317,Kepler-1243 b,Kepler-1243 b
9753154,Kepler-1244 b,Kepler-1244 b
7604328,Kepler-1245 b,Kepler-1245 b
7604328,Kepler-1245 c,Kepler-1245 c
11236244,Kepler-1246 b,Kepler-1246 b
9837685,Kepler-1247 b,Kepler-1247 b
12454461,Kepler-1248 b,Kepler-1248 b
8380709,Kepler-1249 b,Kepler-1249 b
10489206,Kepler-125 b,Kepler-125 b
10489206,Kepler-125 c,Kepler-125 c
9395719,Kepler-1250 b,Kepler-1250 b
11403389,Kepler-1251 b,Kepler-1251 b
9851662,Kepler-1252 b,Kepler-1252 b
10453588,Kepler-1253 b,Kepler-1253 b
11125613,Kepler-1254 b,Kepler-1254 b
11125613,Kepler-1254 c,Kepler-1254 c
11125613,Kepler-1254 d,Kepler-1254 d
7212184,Kepler-1255 b,Kepler-1255 b
8559152,Kepler-1256 b,Kepler-1256 b
9229657,Kepler-1257 b,Kepler-1257 b
11752632,Kepler-1258 b,Kepler-1258 b
10028535,Kepler-1259 b,Kepler-1259 b
8292840,Kepler-126 b,Kepler-126 b
8292840,Kepler-126 c,Kepler-126 c
8292840,Kepler-126 d,Kepler-126 d
7047207,Kepler-1260 b,Kepler-1260 b
11179076,Kepler-1261 b,Kepler-1261 b
6767840,Kepler-1262 b,Kepler-1262 b
9880190,Kepler-1263 b,Kepler-1263 b
8947520,Kepler-1264 b,Kepler-1264 b
10059645,Kepler-1265 b,Kepler-1265 b
7183745,Kepler-1266 b,Kepler-1266 b
7183745,Kepler-1266 c,Kepler-1266 c
7778767,Kepler-1267 b,Kepler-1267 b
7515762,Kepler-1268 b,Kepler-1268 b
9011825,Kepler-1269 b,Kepler-1269 b
9451706,Kepler-127 b,Kepler-127 b
9451706,Kepler-127 c,Kepler-127 c
9451706,Kepler-127 d,Kepler-127 d
11074835,Kepler-1270 b,Kepler-1270 b
1996180,Kepler-1271 b,Kepler-1271 b
3728701,Kepler-1272 b,Kepler-1272 b
8676148,Kepler-1273 b,Kepler-1273 b
9696358,Kepler-1274 b,Kepler-1274 b
8757824,Kepler-1275 b,Kepler-1275 b
5350244,Kepler-1276 b,Kepler-1276 b
5374403,Kepler-1277 b,Kepler-1277 b
7259298,Kepler-1278 b,Kepler-1278 b
5175024,Kepler-1279 b,Kepler-1279 b
8077137,Kepler-128 b,Kepler-128 b
8077137,Kepler-128 c,Kepler-128 c
9026749,Kepler-1280 b,Kepler-1280 b
11037511,Kepler-1281 b,Kepler-1281 b
9827149,Kepler-1282 b,Kepler-1282 b
5546691,Kepler-1283 b,Kepler-1283 b
10468885,Kepler-1284 b,Kepler-1284 b
8212002,Kepler-1285 b,Kepler-1285 b
8004903,Kepler-1286 b,Kepler-1286 b
10068659,Kepler-1287 b,Kepler-1287 b
6269070,Kepler-1288 b,Kepler-1288 b
5807769,Kepler-1289 b,Kepler-1289 b
10586004,Kepler-129 b,Kepler-129 b
10586004,Kepler-129 c,Kepler-129 c
10586004,Kepler-129 d,Kepler-129 d
8025596,Kepler-1290 b,Kepler-1290 b
4915638,Kepler-1291 b,Kepler-1291 b
