kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
7668663,K01898.01,Kepler-1005 b,286.28601,43.320461,13.25,CONFIRMED,1.0,0,0,0,0,6.4980147,136.00108,2.4384,190.9,41.2,0.92,1.87,1026.0,262.18,0.015491,5727.0,4.328,1.104,0.946,286.28601,43.320461
7047922,K01899.01,Kepler-1006 b,295.75412,42.537479,14.563,CONFIRMED,0.975,0,0,0,0,19.76169247,135.17794,3.9097,392.5,35.3,0.924,2.81,791.0,92.38,0.021935,6327.0,4.327,1.175,1.064,295.75412,42.537479
9353314,K01900.01,Kepler-1007 b,295.90656,45.80912,14.744,CONFIRMED,1.0,0,0,0,0,5.18498961,131.8814,2.1397,430.1,36.4,0.021,1.15,652.0,42.62,0.018775,4325.0,4.68,0.56,0.547,295.90656,45.80912
8766650,K01904.01,Kepler-1008 b,296.54752,44.941929,13.395,CONFIRMED,0.984,0,0,0,0,12.43929428,136.37952,3.176,254.3,24.9,0.663,1.3,627.0,36.57,0.015366,4987.0,4.531,0.773,0.742,296.54752,44.941929
7094486,K01907.01,Kepler-1009 b,282.85992,42.66576,15.278,CONFIRMED,1.0,0,0,0,0,11.35010642,134.04612,2.2792,1221.0,38.3,0.035,1.75,403.0,6.25,0.031169,3597.0,4.734,0.514,0.522,282.85992,42.66576
10905239,K00046.01,Kepler-101 b,283.25549,48.355232,13.77,CONFIRMED,1.0,0,0,0,0,3.487688776,170.932217,3.83661,1298.8,350.6,0.026,5.64,1445.0,1033.07,0.032422,5576.0,4.065,1.593,1.074,283.25549,48.355232
10905239,K00046.02,Kepler-101 c,283.25549,48.355232,13.77,CONFIRMED,0.917,0,0,0,0,6.02977241,132.48162,3.961,54.6,11.5,0.379,1.18,1204.0,496.46,0.006767,5576.0,4.065,1.593,1.074,283.25549,48.355232
8226050,K01910.01,Kepler-1010 b,289.19263,44.149319,14.685,CONFIRMED,0.995,0,0,0,0,34.2685741,147.05143,4.8251,699.3,38.2,0.677,2.44,477.0,12.2,0.02559,5083.0,4.468,0.872,0.815,289.19263,44.149319
9965957,K01911.01,Kepler-1011 b,297.40155,46.824001,15.196,CONFIRMED,1.0,0,0,0,0,5.75321539,136.75617,1.7948,733.8,31.8,0.921,3.14,920.0,169.44,0.03095,5445.0,4.51,0.929,1.017,297.40155,46.824001
9704384,K01913.01,Kepler-1012 b,289.29626,46.457951,13.317,CONFIRMED,1.0,0,0,0,0,5.50860699,132.2983,3.0788,203.9,38.2,0.879,1.49,934.0,179.62,0.015422,5448.0,4.489,0.883,0.877,289.29626,46.457951
8426567,K01914.01,Kepler-1013 b,290.24805,44.435242,14.417,CONFIRMED,1.0,0,0,0,0,18.93055119,143.25058,3.372,684.0,26.2,0.583,4.41,766.0,81.42,0.024576,5015.0,3.987,1.643,0.955,290.24805,44.435242
8218379,K01920.01,Kepler-1014 b,285.12204,44.1106,14.64,CONFIRMED,1.0,0,0,0,0,16.57099265,133.90704,2.9052,644.9,40.9,0.55,2.03,614.0,33.53,0.023913,5483.0,4.589,0.779,0.865,285.12204,44.1106
7755636,K01921.01,Kepler-1015 b,292.75732,43.42691,12.818,CONFIRMED,1.0,0,0,0,0,16.00496657,135.25305,6.5047,377.5,49.8,0.013,3.71,1040.0,276.53,0.017862,6384.0,4.029,1.904,1.412,292.75732,43.42691
9411166,K01922.01,Kepler-1016 b,294.61365,45.984619,15.356,CONFIRMED,1.0,0,0,0,0,1.954525966,132.29679,2.0944,392.8,43.1,0.673,2.38,1540.0,1331.18,0.019224,5741.0,4.331,1.136,1.01,294.61365,45.984619
9411166,K01922.03,Kepler-1016 c,294.61365,45.984619,15.356,CONFIRMED,1.0,0,0,0,0,105.6552651,230.09865,9.39,1366.9,42.3,0.371,4.22,407.0,6.51,0.033986,5741.0,4.331,1.136,1.01,294.61365,45.984619
4989057,K01923.01,Kepler-1017 b,283.46936,40.13261,14.139,CONFIRMED,1.0,0,0,0,0,7.23400381,137.67742,2.165,453.3,34.3,0.032,1.78,831.0,112.48,0.019155,5411.0,4.523,0.85,0.879,283.46936,40.13261
