kepid,quarters
10018233,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10019065,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10019399,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10019643,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10019708,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10019763,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10020423,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10022908,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10023069,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10023469,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10024051,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10024701,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10026136,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10026457,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10026458,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10026502,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10027247,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10027323,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10028140,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10028352,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10028535,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10028792,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10030778,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031409,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031500,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031526,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031643,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031656,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031707,"Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031808,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031885,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031907,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10031918,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10033279,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10034146,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10055126,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10057494,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10059645,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10063044,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10063208,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10063802,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10064256,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10068024,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10068030,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10068383,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10068659,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10068919,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10070468,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10074466,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10079317,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10079481,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10080248,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10081899,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10083623,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10089911,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10090151,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10090219,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10090257,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10091110,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10091257,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10092312,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10093664,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10094670,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10095484,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10095512,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10098844,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10118816,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10122255,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10123064,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10125352,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10129482,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10130039,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10130057,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10132832,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10134152,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10136549,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10139305,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10141271,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10141900,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10147276,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10148521,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10149023,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10152836,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10153011,"Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10153855,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10154388,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10155080,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10155286,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10155434,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10156055,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10156064,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10156110,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10157458,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10158729,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10158990,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10164018,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10166274,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10186945,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10187017,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10187159,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10187563,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10189523,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10189542,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10189546,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10189557,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10190777,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10191036,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10191056,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10191070,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10198109,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10199817,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10202759,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10203349,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10205598,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10206675,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10208759,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10208894,"Q01,Q02,Q03,Q04,Q06,Q07,Q10,Q11,Q14"
10212441,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10213902,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10214162,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10214328,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10214873,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10215422,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10220837,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10220950,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10223616,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10225800,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10226343,"Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10226420,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10227020,"Q01,Q02,Q03,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10227501,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10227863,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10227881,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10228942,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10232693,"Q01,Q04,Q05,Q08,Q09,Q12,Q13,Q16,Q17"
10252275,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10253547,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10253638,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10258558,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10259029,"Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10259031,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10259301,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
1025986,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
1026032,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10263598,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10264202,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10264660,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10265898,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10266615,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10266860,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10267121,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10268714,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10268809,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10268903,"Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10268907,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
1026957,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10271806,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10272389,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10272442,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10272640,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10274244,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10275766,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10275805,"Q03,Q04,Q06,Q07,Q08,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10275880,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10275887,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10281311,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10285631,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10287248,"Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10288922,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10289119,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10290666,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10292238,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10292465,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10292540,"Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10294509,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10294608,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10294613,"Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10296163,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q08,Q09,Q10,Q12,Q13,Q14,Q16,Q17"
10318874,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10320341,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10321927,"Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10322797,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10328393,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10328458,"Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
10329196,"Q00,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17"
